Location,median_income,gini_index,fips
"Monroe County, Alabama: Summary level: 050, state:01> county:099",41658,0.5568,1099
"Lawrence County, Alabama: Summary level: 050, state:01> county:079",55358,0.4317,1079
"Lee County, Alabama: Summary level: 050, state:01> county:081",65100,0.5008,1081
"Marion County, Alabama: Summary level: 050, state:01> county:093",45959,0.4734,1093
"Pickens County, Alabama: Summary level: 050, state:01> county:107",50732,0.484,1107
"Sumter County, Alabama: Summary level: 050, state:01> county:119",41221,0.5187,1119
"Jefferson County, Alabama: Summary level: 050, state:01> county:073",64182,0.501,1073
"Choctaw County, Alabama: Summary level: 050, state:01> county:023",45669,0.486,1023
"Franklin County, Alabama: Summary level: 050, state:01> county:059",46411,0.4305,1059
"Marengo County, Alabama: Summary level: 050, state:01> county:091",50599,0.5303,1091
"Russell County, Alabama: Summary level: 050, state:01> county:113",49373,0.4591,1113
"Cherokee County, Alabama: Summary level: 050, state:01> county:019",50252,0.4534,1019
"Covington County, Alabama: Summary level: 050, state:01> county:039",51643,0.4486,1039
"Crenshaw County, Alabama: Summary level: 050, state:01> county:041",52354,0.4664,1041
"Dallas County, Alabama: Summary level: 050, state:01> county:047",38210,0.4974,1047
"Lauderdale County, Alabama: Summary level: 050, state:01> county:077",59742,0.46,1077
"Lowndes County, Alabama: Summary level: 050, state:01> county:085",41160,0.5059,1085
"Macon County, Alabama: Summary level: 050, state:01> county:087",44587,0.5056,1087
"Limestone County, Alabama: Summary level: 050, state:01> county:083",66164,0.4582,1083
"Shelby County, Alabama: Summary level: 050, state:01> county:117",89045,0.4275,1117
"St. Clair County, Alabama: Summary level: 050, state:01> county:115",64123,0.4102,1115
"Winston County, Alabama: Summary level: 050, state:01> county:133",44531,0.4525,1133
"Baldwin County, Alabama: Summary level: 050, state:01> county:003",67732,0.4618,1003
"Cullman County, Alabama: Summary level: 050, state:01> county:043",51478,0.4482,1043
"Elmore County, Alabama: Summary level: 050, state:01> county:051",67841,0.4374,1051
"Houston County, Alabama: Summary level: 050, state:01> county:069",54935,0.4797,1069
"Jackson County, Alabama: Summary level: 050, state:01> county:071",47677,0.4537,1071
"Talladega County, Alabama: Summary level: 050, state:01> county:121",48838,0.4543,1121
"Tuscaloosa County, Alabama: Summary level: 050, state:01> county:125",63675,0.4607,1125
"Washington County, Alabama: Summary level: 050, state:01> county:129",46843,0.4635,1129
"Clay County, Alabama: Summary level: 050, state:01> county:027",47181,0.4574,1027
"Coffee County, Alabama: Summary level: 050, state:01> county:031",62987,0.4486,1031
"Morgan County, Alabama: Summary level: 050, state:01> county:103",59412,0.4566,1103
"Pike County, Alabama: Summary level: 050, state:01> county:109",49429,0.5169,1109
"Chilton County, Alabama: Summary level: 050, state:01> county:021",52791,0.4693,1021
"Colbert County, Alabama: Summary level: 050, state:01> county:033",56939,0.4383,1033
"Coosa County, Alabama: Summary level: 050, state:01> county:037",46210,0.4372,1037
"Dale County, Alabama: Summary level: 050, state:01> county:045",54111,0.4561,1045
"Hale County, Alabama: Summary level: 050, state:01> county:065",49375,0.4968,1065
"Etowah County, Alabama: Summary level: 050, state:01> county:055",54588,0.4441,1055
"DeKalb County, Alabama: Summary level: 050, state:01> county:049",46975,0.4648,1049
"Escambia County, Alabama: Summary level: 050, state:01> county:053",44593,0.4844,1053
"Lamar County, Alabama: Summary level: 050, state:01> county:075",46370,0.4733,1075
"Randolph County, Alabama: Summary level: 050, state:01> county:111",49136,0.4516,1111
