,Location,median_income,gini_index
0,"Monroe County, Alabama: Summary level: 050, state:01> county:099",41658,0.5568
1,"Lawrence County, Alabama: Summary level: 050, state:01> county:079",55358,0.4317
2,"Lee County, Alabama: Summary level: 050, state:01> county:081",65100,0.5008
3,"Marion County, Alabama: Summary level: 050, state:01> county:093",45959,0.4734
4,"Pickens County, Alabama: Summary level: 050, state:01> county:107",50732,0.484
5,"Sumter County, Alabama: Summary level: 050, state:01> county:119",41221,0.5187
6,"Jefferson County, Alabama: Summary level: 050, state:01> county:073",64182,0.501
7,"Choctaw County, Alabama: Summary level: 050, state:01> county:023",45669,0.486
8,"Franklin County, Alabama: Summary level: 050, state:01> county:059",46411,0.4305
9,"Marengo County, Alabama: Summary level: 050, state:01> county:091",50599,0.5303
10,"Russell County, Alabama: Summary level: 050, state:01> county:113",49373,0.4591
11,"Cherokee County, Alabama: Summary level: 050, state:01> county:019",50252,0.4534
12,"Covington County, Alabama: Summary level: 050, state:01> county:039",51643,0.4486
13,"Crenshaw County, Alabama: Summary level: 050, state:01> county:041",52354,0.4664
14,"Dallas County, Alabama: Summary level: 050, state:01> county:047",38210,0.4974
15,"Lauderdale County, Alabama: Summary level: 050, state:01> county:077",59742,0.46
16,"Lowndes County, Alabama: Summary level: 050, state:01> county:085",41160,0.5059
17,"Macon County, Alabama: Summary level: 050, state:01> county:087",44587,0.5056
18,"Limestone County, Alabama: Summary level: 050, state:01> county:083",66164,0.4582
19,"Shelby County, Alabama: Summary level: 050, state:01> county:117",89045,0.4275
20,"St. Clair County, Alabama: Summary level: 050, state:01> county:115",64123,0.4102
21,"Winston County, Alabama: Summary level: 050, state:01> county:133",44531,0.4525
22,"Baldwin County, Alabama: Summary level: 050, state:01> county:003",67732,0.4618
23,"Cullman County, Alabama: Summary level: 050, state:01> county:043",51478,0.4482
24,"Elmore County, Alabama: Summary level: 050, state:01> county:051",67841,0.4374
25,"Houston County, Alabama: Summary level: 050, state:01> county:069",54935,0.4797
26,"Jackson County, Alabama: Summary level: 050, state:01> county:071",47677,0.4537
27,"Talladega County, Alabama: Summary level: 050, state:01> county:121",48838,0.4543
28,"Tuscaloosa County, Alabama: Summary level: 050, state:01> county:125",63675,0.4607
29,"Washington County, Alabama: Summary level: 050, state:01> county:129",46843,0.4635
30,"Clay County, Alabama: Summary level: 050, state:01> county:027",47181,0.4574
31,"Coffee County, Alabama: Summary level: 050, state:01> county:031",62987,0.4486
32,"Morgan County, Alabama: Summary level: 050, state:01> county:103",59412,0.4566
33,"Pike County, Alabama: Summary level: 050, state:01> county:109",49429,0.5169
34,"Chilton County, Alabama: Summary level: 050, state:01> county:021",52791,0.4693
35,"Colbert County, Alabama: Summary level: 050, state:01> county:033",56939,0.4383
36,"Coosa County, Alabama: Summary level: 050, state:01> county:037",46210,0.4372
37,"Dale County, Alabama: Summary level: 050, state:01> county:045",54111,0.4561
38,"Hale County, Alabama: Summary level: 050, state:01> county:065",49375,0.4968
39,"Etowah County, Alabama: Summary level: 050, state:01> county:055",54588,0.4441
40,"DeKalb County, Alabama: Summary level: 050, state:01> county:049",46975,0.4648
41,"Escambia County, Alabama: Summary level: 050, state:01> county:053",44593,0.4844
42,"Lamar County, Alabama: Summary level: 050, state:01> county:075",46370,0.4733
43,"Randolph County, Alabama: Summary level: 050, state:01> county:111",49136,0.4516
44,"Butler County, Alabama: Summary level: 050, state:01> county:013",43084,0.4495
45,"Mobile County, Alabama: Summary level: 050, state:01> county:097",56843,0.4729
46,"Conecuh County, Alabama: Summary level: 050, state:01> county:035",37684,0.4552
47,"Perry County, Alabama: Summary level: 050, state:01> county:105",32669,0.4962
48,"Walker County, Alabama: Summary level: 050, state:01> county:127",49678,0.4566
49,"Cleburne County, Alabama: Summary level: 050, state:01> county:029",50934,0.4569
50,"Greene County, Alabama: Summary level: 050, state:01> county:063",31801,0.5148
51,"Barbour County, Alabama: Summary level: 050, state:01> county:005",41240,0.4622
52,"Bibb County, Alabama: Summary level: 050, state:01> county:007",52447,0.4518
53,"Bullock County, Alabama: Summary level: 050, state:01> county:011",40424,0.482
54,"Calhoun County, Alabama: Summary level: 050, state:01> county:015",54482,0.4629
55,"Chambers County, Alabama: Summary level: 050, state:01> county:017",48856,0.4592
56,"Clarke County, Alabama: Summary level: 050, state:01> county:025",50603,0.5194
57,"Fayette County, Alabama: Summary level: 050, state:01> county:057",46986,0.4669
58,"Montgomery County, Alabama: Summary level: 050, state:01> county:101",59366,0.4831
59,"Marshall County, Alabama: Summary level: 050, state:01> county:095",51308,0.4816
60,"Blount County, Alabama: Summary level: 050, state:01> county:009",55620,0.4302
61,"Henry County, Alabama: Summary level: 050, state:01> county:067",56250,0.4529
62,"Madison County, Alabama: Summary level: 050, state:01> county:089",80240,0.4668
63,"Autauga County, Alabama: Summary level: 050, state:01> county:001",69991,0.4501
64,"Tallapoosa County, Alabama: Summary level: 050, state:01> county:123",53211,0.4536
