Location,median_income
"Monroe County, Alabama: Summary level: 050, state:01> county:099",41658
"Lawrence County, Alabama: Summary level: 050, state:01> county:079",55358
"Lee County, Alabama: Summary level: 050, state:01> county:081",65100
"Marion County, Alabama: Summary level: 050, state:01> county:093",45959
"Pickens County, Alabama: Summary level: 050, state:01> county:107",50732
"Sumter County, Alabama: Summary level: 050, state:01> county:119",41221
"Jefferson County, Alabama: Summary level: 050, state:01> county:073",64182
"Choctaw County, Alabama: Summary level: 050, state:01> county:023",45669
"Franklin County, Alabama: Summary level: 050, state:01> county:059",46411
"Marengo County, Alabama: Summary level: 050, state:01> county:091",50599
"Russell County, Alabama: Summary level: 050, state:01> county:113",49373
"Cherokee County, Alabama: Summary level: 050, state:01> county:019",50252
"Covington County, Alabama: Summary level: 050, state:01> county:039",51643
"Crenshaw County, Alabama: Summary level: 050, state:01> county:041",52354
"Dallas County, Alabama: Summary level: 050, state:01> county:047",38210
"Lauderdale County, Alabama: Summary level: 050, state:01> county:077",59742
"Lowndes County, Alabama: Summary level: 050, state:01> county:085",41160
"Macon County, Alabama: Summary level: 050, state:01> county:087",44587
"Limestone County, Alabama: Summary level: 050, state:01> county:083",66164
"Shelby County, Alabama: Summary level: 050, state:01> county:117",89045
"St. Clair County, Alabama: Summary level: 050, state:01> county:115",64123
"Winston County, Alabama: Summary level: 050, state:01> county:133",44531
"Baldwin County, Alabama: Summary level: 050, state:01> county:003",67732
"Cullman County, Alabama: Summary level: 050, state:01> county:043",51478
"Elmore County, Alabama: Summary level: 050, state:01> county:051",67841
"Houston County, Alabama: Summary level: 050, state:01> county:069",54935
"Jackson County, Alabama: Summary level: 050, state:01> county:071",47677
"Talladega County, Alabama: Summary level: 050, state:01> county:121",48838
"Tuscaloosa County, Alabama: Summary level: 050, state:01> county:125",63675
"Washington County, Alabama: Summary level: 050, state:01> county:129",46843
"Clay County, Alabama: Summary level: 050, state:01> county:027",47181
"Coffee County, Alabama: Summary level: 050, state:01> county:031",62987
"Morgan County, Alabama: Summary level: 050, state:01> county:103",59412
"Pike County, Alabama: Summary level: 050, state:01> county:109",49429
"Chilton County, Alabama: Summary level: 050, state:01> county:021",52791
"Colbert County, Alabama: Summary level: 050, state:01> county:033",56939
"Coosa County, Alabama: Summary level: 050, state:01> county:037",46210
"Dale County, Alabama: Summary level: 050, state:01> county:045",54111
"Hale County, Alabama: Summary level: 050, state:01> county:065",49375
"Etowah County, Alabama: Summary level: 050, state:01> county:055",54588
"DeKalb County, Alabama: Summary level: 050, state:01> county:049",46975
"Escambia County, Alabama: Summary level: 050, state:01> county:053",44593
"Lamar County, Alabama: Summary level: 050, state:01> county:075",46370
"Randolph County, Alabama: Summary level: 050, state:01> county:111",49136
"Butler County, Alabama: Summary level: 050, state:01> county:013",43084
"Mobile County, Alabama: Summary level: 050, state:01> county:097",56843
"Conecuh County, Alabama: Summary level: 050, state:01> county:035",37684
"Perry County, Alabama: Summary level: 050, state:01> county:105",32669
"Walker County, Alabama: Summary level: 050, state:01> county:127",49678
"Cleburne County, Alabama: Summary level: 050, state:01> county:029",50934
"Greene County, Alabama: Summary level: 050, state:01> county:063",31801
"Barbour County, Alabama: Summary level: 050, state:01> county:005",41240
"Bibb County, Alabama: Summary level: 050, state:01> county:007",52447
"Bullock County, Alabama: Summary level: 050, state:01> county:011",40424
"Calhoun County, Alabama: Summary level: 050, state:01> county:015",54482
"Chambers County, Alabama: Summary level: 050, state:01> county:017",48856
"Clarke County, Alabama: Summary level: 050, state:01> county:025",50603
"Fayette County, Alabama: Summary level: 050, state:01> county:057",46986
"Montgomery County, Alabama: Summary level: 050, state:01> county:101",59366
"Marshall County, Alabama: Summary level: 050, state:01> county:095",51308
"Blount County, Alabama: Summary level: 050, state:01> county:009",55620
"Henry County, Alabama: Summary level: 050, state:01> county:067",56250
"Madison County, Alabama: Summary level: 050, state:01> county:089",80240
"Autauga County, Alabama: Summary level: 050, state:01> county:001",69991
"Tallapoosa County, Alabama: Summary level: 050, state:01> county:123",53211
"Geneva County, Alabama: Summary level: 050, state:01> county:061",49412
"Wilcox County, Alabama: Summary level: 050, state:01> county:131",40829
"Kodiak Island Borough, Alaska: Summary level: 050, state:02> county:150",92629
"Denali Borough, Alaska: Summary level: 050, state:02> county:068",104044
"Valdez-Cordova Census Area, Alaska: Summary level: 050, state:02> county:261",106599
"Kenai Peninsula Borough, Alaska: Summary level: 050, state:02> county:122",84458
"Aleutians West Census Area, Alaska: Summary level: 050, state:02> county:016",94306
